,salary_in_usd,count
280,50200,3
281,47778,3
282,90300,3
283,99900,3
284,77265,3
285,223500,3
286,100144,3
287,46500,3
288,45700,3
289,152000,3
290,42500,3
291,96400,3
292,47756,3
293,135600,3
294,66100,3
295,134000,3
296,72200,3
297,51111,3
298,136000,3
299,193000,3
300,57700,3
301,55600,3
302,156450,3
303,110400,3
304,21600,3
305,71000,3
306,130400,3
307,78308,3
308,123625,3
309,149820,3
310,89180,3
311,157900,3
312,75500,3
313,70800,3
314,83200,3
315,116300,3
316,87400,3
317,53950,3
318,86520,3
319,91500,3
320,34000,3
321,32400,3
322,55200,3
323,68436,3
324,81500,3
325,97525,3
326,71025,3
327,139360,3
328,94900,3
329,142300,3
330,96600,3
331,80600,3
332,264200,3
333,85280,3
334,107000,3
335,93100,3
336,49183,3
337,285000,3
338,82783,3
339,220611,3
340,72100,3
341,58717,3
342,153600,3
343,137972,3
344,79700,3
345,198000,3
346,105300,3
347,76068,3
348,87550,3
349,131300,3
350,61111,3
351,57500,3
352,143000,3
353,70024,3
354,131325,3
355,195700,3
356,71500,3
357,145500,3
358,110240,3
359,105500,3
360,85600,3
361,216000,3
362,144300,3
363,228000,3
364,24000,3
365,108463,3
366,84813,3
367,355000,3
368,116706,3
369,199000,3
370,97700,3
371,78800,3
372,51824,3
373,143100,3
374,192300,3
375,72222,3
376,99500,3
377,59500,3
378,75800,3
379,62900,3
380,159870,3
381,126300,3
382,35555,3
383,156500,3
384,256500,3
385,120200,3
386,195500,3
387,115200,3
388,52300,3
389,225000,3
390,76800,3
391,76833,2
392,59200,2
393,72534,2
394,40747,2
395,53800,2
396,46400,2
397,187000,2
398,21593,2
399,61520,2
400,43187,2
401,160800,2
402,83158,2
403,39600,2
404,121000,2
405,66600,2
406,118765,2
407,69862,2
408,36250,2
409,132700,2
410,92900,2
411,59102,2
412,31520,2
413,15000,2
414,33220,2
415,28299,2
416,149800,2
417,106875,2
418,44100,2
419,216500,2
420,63648,2
421,143700,2
422,74100,2
423,49400,2
424,155800,2
425,54600,2
426,53333,2
427,109400,2
428,35776,2
429,79976,2
430,66800,2
431,111000,2
432,64111,2
433,27885,2
434,135510,2
435,43800,2
436,160445,2
437,137400,2
438,95300,2
439,67253,2
440,70500,2
441,45500,2
442,113400,2
443,41500,2
444,136500,2
445,93295,2
446,92250,2
447,145600,2
448,168000,2
449,193600,2
450,74200,2
451,75289,2
452,95700,2
453,136032,2
454,136873,2
455,148000,2
456,87552,2
457,57060,2
458,94500,2
459,78200,2
460,210100,2
461,153500,2
462,66560,2
463,39000,2
464,57100,2
465,177100,2
466,130900,2
467,197100,2
468,99385,2
469,72280,2
470,69600,2
471,19333,2
472,102500,2
473,116425,2
474,151500,2
475,59513,2
476,49576,2
477,67725,2
478,142000,2
479,181500,2
480,181479,2
481,92300,2
482,106300,2
483,187415,2
484,114080,2
485,56051,2
486,138900,2
487,127305,2
488,99548,2
489,116500,2
490,171600,2
491,83646,2
492,69722,2
493,132300,2
494,115850,2
495,144050,2
496,59093,2
497,220984,2
498,142381,2
499,85428,2
500,93500,2
501,65407,2
502,168326,2
503,100996,2
504,123626,2
505,85300,2
506,83500,2
507,83552,2
508,49148,2
509,52021,2
510,28000,2
511,17333,2
512,64665,2
513,79800,2
514,42700,2
515,79685,2
516,135392,2
517,79643,2
518,138500,2
519,194500,2
520,125500,2
521,59623,2
522,44381,2
523,158100,2
524,95776,2
525,29333,2
526,74400,2
527,154000,2
528,18533,2
529,79925,2
530,63200,2
531,22222,2
532,58542,2
533,232000,2
534,65900,2
535,157450,2
536,226700,2
537,95200,2
538,158000,2
539,60216,2
540,154700,2
541,55381,2
542,61200,2
543,163800,2
544,157600,2
545,153000,2
546,65400,2
547,26992,2
548,64600,2
549,234000,2
550,118000,2
551,82400,2
552,75100,2
553,80080,2
554,111400,2
555,62800,2
556,57800,2
557,150700,2
558,79400,2
559,28800,2
560,41227,2
561,86900,2
562,60800,2
563,245520,2
564,291900,2
565,103800,2
566,44712,2
567,42477,2
568,41725,2
569,158200,2
570,59400,2
571,129600,2
572,98153,2
573,57737,2
574,95472,2
575,66500,2
576,157000,2
577,45400,2
578,27000,2
579,130916,2
580,56100,2
581,63300,2
582,43000,2
583,58125,2
584,83333,2
585,109700,2
586,77988,2
587,38750,2
588,116646,2
589,84375,2
590,208000,2
591,92475,2
592,78240,2
593,43125,2
594,95655,2
595,45203,2
596,104800,2
597,51700,2
598,58200,2
599,43500,2
600,192500,2
601,77280,2
602,49000,2
603,122100,2
604,109900,2
605,28888,2
606,82500,2
607,71907,2
608,130001,2
609,74540,2
610,95347,2
611,57200,2
612,124234,2
613,49253,2
614,81250,2
615,51250,2
616,139700,2
